title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
Dumb and Dumberer: When Harry Met Lloyd,2003,85.0,Comedies,3.4,30651
Earth to Echo,2014,91.0,Children & Family Movies,5.8,15664
Easy A,2010,92.0,Comedies,7.1,276746
Eat Pray Love,2010,140.0,Dramas,5.7,63493
Employee of the Month,2006,108.0,Comedies,5.5,37681
End of Watch,2012,109.0,Action & Adventure,7.7,181025
Equilibrium,2002,107.0,Action & Adventure,7.5,261317
Evan Almighty,2007,96.0,Children & Family Movies,5.4,115099
Event Horizon,1997,96.0,Horror Movies,6.7,120416
Ex Machina,2015,108.0,Dramas,7.7,289508
Executive Decision,1996,133.0,Action & Adventure,6.4,40858
Exit Wounds,2001,101.0,Action & Adventure,5.5,27580
Fear and Loathing in Las Vegas,1998,118.0,Comedies,7.7,213226
Fiddler on the Roof,1971,181.0,Classic Movies,8.0,29839
Final Destination,2000,98.0,Cult Movies,6.7,181058
Final Destination 2,2003,90.0,Horror Movies,6.2,120786
Final Destination 3,2006,93.0,Horror Movies,5.8,102861
Flash of Genius,2008,119.0,Dramas,7.0,14301
For Colored Girls,2010,134.0,Dramas,6.0,6067
Four Christmases,2008,88.0,Comedies,5.6,48500
Four Weddings and a Funeral,1994,118.0,Classic Movies,7.1,107923
Frances Ha,2012,86.0,Comedies,7.4,43982
From Paris with Love,2010,93.0,Action & Adventure,6.5,97775
Frozen River,2008,97.0,Dramas,7.2,21746
G-Force,2009,88.0,Children & Family Movies,5.1,33042
Gangs of New York,2002,167.0,Dramas,7.5,314033
Get Him to the Greek,2010,109.0,Comedies,6.4,147317
Get Smart,2008,110.0,Action & Adventure,6.5,168172
Ghost Rider,2007,110.0,Action & Adventure,5.2,182661
GoldenEye,1995,130.0,Action & Adventure,7.2,199025
Good Kill,2014,103.0,Dramas,6.4,15756
GoodFellas,1990,145.0,Classic Movies,8.7,728685
Gosford Park,2001,137.0,Comedies,7.3,65201
Gothika,2003,98.0,Horror Movies,5.8,89557
Gran Torino,2008,117.0,Dramas,8.2,561773
Grease,1978,110.0,Classic Movies,7.2,170027
Green Room,2015,95.0,Horror Movies,7.1,28845
Hairspray,2007,116.0,Children & Family Movies,6.7,98693
Harold & Kumar Escape from Guantanamo Bay,2008,101.0,Comedies,6.6,113918
Harold & Kumar Go to White Castle,2004,88.0,Comedies,7.1,155262
Haywire,2011,93.0,Action & Adventure,5.8,72646
Heartbreakers,2001,124.0,Comedies,6.2,44168
Hellboy,2004,122.0,Action & Adventure,6.8,244566
Her,2013,126.0,Dramas,8.0,355126
Hitch,2005,118.0,Comedies,6.6,244840
Hoodwinked Too! Hood vs. Evil,2011,86.0,Children & Family Movies,4.8,9682
Hot Rod,2007,88.0,Comedies,6.7,59900
House at the End of the Street,2012,101.0,Horror Movies,5.6,58366
How the Grinch Stole Christmas,2000,105.0,Children & Family Movies,6.0,141414
How to Be a Player,1997,94.0,Comedies,5.3,2301
Hustle & Flow,2005,117.0,Dramas,7.4,33567
I Am Wrath,2016,91.0,Action & Adventure,5.2,4510
I Don't Know How She Does It,2011,89.0,Comedies,4.9,16437
Imagine That,2009,108.0,Children & Family Movies,5.6,10417
Indiana Jones and the Kingdom of the Crystal Skull,2008,123.0,Action & Adventure,6.2,333847
Indiana Jones and the Last Crusade,1989,127.0,Action & Adventure,8.3,515306
Indiana Jones and the Temple of Doom,1984,119.0,Action & Adventure,7.6,329969
Inglourious Basterds,2009,153.0,Action & Adventure,8.3,885175
Inkheart,2008,106.0,Action & Adventure,6.1,60232
Instructions Not Included,2013,122.0,Comedies,7.6,22105
Invictus,2009,134.0,Dramas,7.4,124222
Jackie Brown,1997,154.0,Dramas,7.5,239540
Jay and Silent Bob Strike Back,2001,105.0,Comedies,6.9,128593
Jersey Boys,2014,134.0,Dramas,6.9,25465
John Carter,2012,133.0,Action & Adventure,6.6,212204
Julie & Julia,2009,123.0,Comedies,7.0,79264
Jumping the Broom,2011,113.0,Comedies,5.7,7973
Jupiter Ascending,2015,128.0,Action & Adventure,5.4,139593
Justin Bieber: Never Say Never,2011,106.0,Documentaries,1.6,74351
K-19: The Widowmaker,2002,138.0,Action & Adventure,6.7,49311
Kate & Leopold,2001,118.0,Comedies,6.4,64595
Kevin Hart: Laugh at My Pain,2011,89.0,Stand-Up Comedy,7.5,3543
